Methode;Metric;Variablenname;Missing;Wert
correlation_2;RMSE;AMT_INCOME_TOTAL;25;116527,305
correlation_2;RMSE;AMT_INCOME_TOTAL;10;116527,305
correlation_2;RMSE;AMT_INCOME_TOTAL;0;116527,305
correlation_1;RMSE;NAME_INCOME_TYPE;80;0,000
correlation_1;RMSE;NAME_INCOME_TYPE;50;0,000
correlation_1;RMSE;NAME_INCOME_TYPE;25;0,000
correlation_1;RMSE;NAME_INCOME_TYPE;10;0,000
correlation_1;RMSE;NAME_INCOME_TYPE;0;0,000
correlation_1;RMSE;CODE_GENDER;80;0,000
correlation_1;RMSE;CODE_GENDER;50;0,000
correlation_1;RMSE;CODE_GENDER;25;0,000
correlation_1;RMSE;CODE_GENDER;10;0,000
correlation_1;RMSE;CODE_GENDER;0;0,000
correlation_1;RMSE;AMT_INCOME_TOTAL;80;227101,753
correlation_1;RMSE;AMT_INCOME_TOTAL;50;227101,753
correlation_1;RMSE;AMT_INCOME_TOTAL;25;227101,753
correlation_1;RMSE;AMT_INCOME_TOTAL;10;227101,753
correlation_1;RMSE;AMT_INCOME_TOTAL;0;227101,753
median;RMSE;AMT_INCOME_TOTAL;80;117938,743
median;RMSE;AMT_INCOME_TOTAL;50;117938,743
median;RMSE;AMT_INCOME_TOTAL;25;117938,743
median;RMSE;AMT_INCOME_TOTAL;10;117938,743
median;RMSE;AMT_INCOME_TOTAL;0;117938,743
modus;RMSE;NAME_INCOME_TYPE;80;0,000
modus;RMSE;NAME_INCOME_TYPE;50;0,000
modus;RMSE;NAME_INCOME_TYPE;25;0,000
modus;RMSE;NAME_INCOME_TYPE;10;0,000
modus;RMSE;NAME_INCOME_TYPE;0;0,000
modus;RMSE;CODE_GENDER;80;0,000
modus;RMSE;CODE_GENDER;50;0,000
modus;RMSE;CODE_GENDER;25;0,000
modus;RMSE;CODE_GENDER;10;0,000
modus;RMSE;CODE_GENDER;0;0,000
modus;RMSE;AMT_INCOME_TOTAL;80;131410,555
modus;RMSE;AMT_INCOME_TOTAL;50;131410,555
modus;RMSE;AMT_INCOME_TOTAL;25;131410,555
modus;RMSE;AMT_INCOME_TOTAL;10;131410,555
modus;RMSE;AMT_INCOME_TOTAL;0;131410,555
means;RMSE;AMT_INCOME_TOTAL;80;117003,568
means;RMSE;AMT_INCOME_TOTAL;50;117003,568
means;RMSE;AMT_INCOME_TOTAL;25;117003,568
means;RMSE;AMT_INCOME_TOTAL;10;117003,568
means;RMSE;AMT_INCOME_TOTAL;0;117003,568
neuronal_network_1;DSC;AMT_INCOME_TOTAL;80;0,000
neuronal_network_1;MAE;AMT_INCOME_TOTAL;80;336411,438
neuronal_network_1;RMSE;AMT_INCOME_TOTAL;80;420687,000
neuronal_network_1;DSC;AMT_INCOME_TOTAL;50;0,000
neuronal_network_1;MAE;AMT_INCOME_TOTAL;50;220518,266
neuronal_network_1;RMSE;AMT_INCOME_TOTAL;50;280578,500
neuronal_network_1;DSC;AMT_INCOME_TOTAL;25;0,000
neuronal_network_1;MAE;AMT_INCOME_TOTAL;25;197381,781
neuronal_network_1;RMSE;AMT_INCOME_TOTAL;25;607805,063
neuronal_network_1;DSC;AMT_INCOME_TOTAL;10;0,000
neuronal_network_1;MAE;AMT_INCOME_TOTAL;10;109720,453
neuronal_network_1;RMSE;AMT_INCOME_TOTAL;10;161851,250
neuronal_network_1;DSC;AMT_INCOME_TOTAL;0;0,000
neuronal_network_1;MAE;AMT_INCOME_TOTAL;0;114289,063
neuronal_network_1;RMSE;AMT_INCOME_TOTAL;0;153298,391
